login,pokemon,coordinates,date,timestamp
admin,Dratini,"[18.512290997022276, 4.930947040585366]",2022-11-03 22:52:14,2022-11-03 22:52:14
admin,Poliwag,"[12.277596891059218, 4.205844868628205]",2022-11-12 23:22:53,2022-11-12 23:22:53
admin,Omastar,"[35.73066085649331, 9.435276416643603]",2022-11-22 07:03:56,2022-11-22 07:03:56
admin,Charmeleon,"[19.94948054358138, 0.28557208194487704]",2022-11-15 04:37:31,2022-11-15 04:37:31
admin,Mr. Mime,"[15.353445846831786, 9.971263865688364]",2022-11-08 12:57:20,2022-11-08 12:57:20
admin,Vaporeon,"[5.296557574930318, 1.0194403973036648]",2022-11-14 16:30:24,2022-11-14 16:30:24
admin,Rapidash,"[36.295269979466596, 3.2267556954207564]",2022-11-09 13:20:16,2022-11-09 13:20:16
admin,Chansey,"[2.39300993148829, 2.749594918404709]",2022-11-18 17:26:52,2022-11-18 17:26:52
admin,Rhydon,"[17.622421037182896, 7.190637994271031]",2022-11-28 11:36:57,2022-11-28 11:36:57
admin,Weepinbell,"[37.32178127627191, 1.196091868192628]",2022-11-13 09:14:06,2022-11-13 09:14:06
admin,Machoke,"[3.114926221069285, 8.66212981891356]",2022-11-23 16:49:56,2022-11-23 16:49:56
admin,Rapidash,"[39.919763680013475, 7.667831670431444]",2022-11-16 14:50:44,2022-11-16 14:50:44
admin,Scyther,"[23.862572386780847, 6.6894285554637865]",2022-11-04 06:28:21,2022-11-04 06:28:21
admin,Voltorb,"[7.480496673714816, 8.714285201572029]",2022-11-12 14:14:26,2022-11-12 14:14:26
admin,Graveler,"[9.53331535350097, 9.104891976022861]",2022-11-16 09:51:35,2022-11-16 09:51:35
admin,Farfetch'd,"[31.706479319822375, 6.507066254871954]",2022-11-02 18:13:42,2022-11-02 18:13:42
admin,Graveler,"[31.23052435510583, 1.7136767138472975]",2022-11-16 03:01:03,2022-11-16 03:01:03
admin,Weepinbell,"[2.9360085186449414, 2.8550424352972383]",2022-11-26 03:14:38,2022-11-26 03:14:38
admin,Kabuto,"[39.17918683127157, 5.910503647901174]",2022-11-16 15:44:01,2022-11-16 15:44:01
admin,Venusaur,"[14.051430403076637, 0.8257353137796741]",2022-11-28 21:52:32,2022-11-28 21:52:32
admin,Pikachu,"[33.38495420232057, 1.8654655872836912]",2022-11-11 19:09:51,2022-11-11 19:09:51
admin,Ninetales,"[8.007563868803835, 2.310769532929281]",2022-11-23 03:36:55,2022-11-23 03:36:55
admin,Mr. Mime,"[4.736640915919148, 0.8312490946992401]",2022-11-28 09:27:27,2022-11-28 09:27:27
admin,Poliwhirl,"[4.465292662252089, 7.9957265163824935]",2022-11-03 12:36:13,2022-11-03 12:36:13
admin,Pikachu,"[10.4377599802321, 2.883037208279189]",2022-11-24 21:58:45,2022-11-24 21:58:45
admin,Poliwrath,"[6.881980210047192, 1.165813917357117]",2022-11-24 11:32:18,2022-11-24 11:32:18
admin,Starmie,"[13.60539110758323, 7.08963064410972]",2022-11-26 02:42:15,2022-11-26 02:42:15
admin,Clefable,"[7.512217781240826, 3.5644020071792317]",2022-11-02 22:41:37,2022-11-02 22:41:37
admin,Gengar,"[16.06478902549337, 9.095765770397758]",2022-11-30 22:38:54,2022-11-30 22:38:54
admin,Starmie,"[2.257361084038987, 3.695968431192025]",2022-11-08 13:16:26,2022-11-08 13:16:26
admin,Butterfree,"[8.689396080049828, 8.472031711235887]",2022-11-19 17:44:11,2022-11-19 17:44:11
admin,Rhyhorn,"[10.846856015618433, 0.4500478397054053]",2022-11-08 20:10:42,2022-11-08 20:10:42
admin,Rhyhorn,"[32.4527813023042, 6.337827733479462]",2022-11-05 08:25:07,2022-11-05 08:25:07
admin,Lapras,"[14.152178176417367, 4.173121973346358]",2022-11-13 19:26:25,2022-11-13 19:26:25
admin,Raichu,"[13.17806126754256, 0.16701855231640472]",2022-11-08 18:15:06,2022-11-08 18:15:06
admin,Dewgong,"[8.466679474373503, 1.6341283809330232]",2022-11-06 05:32:57,2022-11-06 05:32:57
admin,Growlithe,"[25.6237089762431, 0.5374595926338022]",2022-11-08 14:48:20,2022-11-08 14:48:20
admin,Jynx,"[17.39905772574273, 4.414943607020883]",2022-11-02 22:06:04,2022-11-02 22:06:04
admin,Squirtle,"[24.684430958705356, 1.7781908602464946]",2022-11-23 15:51:03,2022-11-23 15:51:03
admin,Kingler,"[8.674186820173624, 6.186555786487258]",2022-11-08 09:06:30,2022-11-08 09:06:30
admin,Gengar,"[30.385836201904446, 7.763001493820801]",2022-11-04 01:27:28,2022-11-04 01:27:28
admin,Snorlax,"[22.731884475583474, 8.162666823404228]",2022-11-12 18:36:39,2022-11-12 18:36:39
admin,Venusaur,"[9.49229083446442, 3.898345616774929]",2022-11-11 21:23:52,2022-11-11 21:23:52
admin,Tentacruel,"[20.475888165694904, 9.91080995809791]",2022-11-28 07:19:58,2022-11-28 07:19:58
admin,Psyduck,"[20.49340030132818, 1.246037158688329]",2022-11-12 04:23:59,2022-11-12 04:23:59
admin,Poliwrath,"[6.526905039035902, 9.55227241811082]",2022-11-07 01:07:57,2022-11-07 01:07:57
admin,Tentacruel,"[30.505390598999384, 4.168340628107842]",2022-11-26 18:01:11,2022-11-26 18:01:11
admin,Zapdos,"[34.645489043328375, 7.142994272222335]",2022-11-29 16:31:15,2022-11-29 16:31:15
admin,Nidorino,"[33.54613592535061, 5.433269538648623]",2022-11-13 12:50:45,2022-11-13 12:50:45
admin,Aerodactyl,"[12.583249845434906, 5.694870091585561]",2022-11-15 13:12:07,2022-11-15 13:12:07
admin,Lickitung,"[9.69559342330295, 5.597774248587721]",2022-11-22 23:55:39,2022-11-22 23:55:39
admin,Seadra,"[17.04151988195161, 2.8751309661637805]",2022-11-11 06:51:17,2022-11-11 06:51:17
admin,Hitmonchan,"[34.129045801525855, 2.798387000335115]",2022-11-15 01:59:58,2022-11-15 01:59:58
admin,Seel,"[32.818808419755975, 5.206447446526607]",2022-12-01 12:21:45,2022-12-01 12:21:45
admin,Geodude,"[31.6368690105385, 2.38216302951054]",2022-11-21 20:38:05,2022-11-21 20:38:05
admin,Ponyta,"[16.988860874737192, 8.428377083635244]",2022-11-08 22:51:05,2022-11-08 22:51:05
admin,Ditto,"[5.763399129762443, 0.07827641743240799]",2022-11-27 05:32:10,2022-11-27 05:32:10
admin,Omanyte,"[4.295083994232161, 5.992106292078211]",2022-11-10 23:41:00,2022-11-10 23:41:00
admin,Weedle,"[9.941751191558978, 6.310201907465233]",2022-11-20 15:39:17,2022-11-20 15:39:17
admin,Eevee,"[9.957655320791874, 1.7799449721465366]",2022-11-20 20:05:40,2022-11-20 20:05:40
admin,Raichu,"[15.582317600274482, 0.963250259904872]",2022-11-20 10:59:01,2022-11-20 10:59:01
admin,Persian,"[7.108759113171752, 7.207640439744136]",2022-11-24 01:47:01,2022-11-24 01:47:01
admin,Kabutops,"[2.0780729460732417, 2.180584927290475]",2022-11-05 05:06:52,2022-11-05 05:06:52
admin,Wigglytuff,"[18.741407910453567, 2.626929201850251]",2022-11-18 13:02:52,2022-11-18 13:02:52
admin,Raticate,"[22.263898456901074, 8.325049930640706]",2022-11-28 10:03:12,2022-11-28 10:03:12
admin,Machamp,"[30.780980686031647, 1.4051806103711728]",2022-11-09 13:26:28,2022-11-09 13:26:28
admin,Squirtle,"[18.50942449200074, 8.721397055200574]",2022-11-28 12:13:05,2022-11-28 12:13:05
admin,Staryu,"[38.736859673967075, 5.234939831016802]",2022-11-29 10:38:55,2022-11-29 10:38:55
admin,Persian,"[8.787195834522596, 9.227605065191286]",2022-11-25 16:31:25,2022-11-25 16:31:25
admin,Pidgeot,"[1.2453523185279458, 5.971494944811243]",2022-11-21 14:48:10,2022-11-21 14:48:10
admin,Alakazam,"[11.283631858533742, 7.131003311181683]",2022-11-10 05:47:01,2022-11-10 05:47:01
admin,Fearow,"[31.17187698854794, 4.8214381125544845]",2022-11-11 06:01:28,2022-11-11 06:01:28
admin,Nidoking,"[38.7844493111064, 4.508530602533753]",2022-11-19 08:15:49,2022-11-19 08:15:49
admin,Magneton,"[17.313788005383163, 0.6975282746547329]",2022-11-23 04:22:13,2022-11-23 04:22:13
admin,Sandslash,"[10.259068781969232, 4.848847392864469]",2022-11-16 17:17:34,2022-11-16 17:17:34
admin,Koffing,"[34.746299826644346, 4.493251371178143]",2022-11-27 16:37:49,2022-11-27 16:37:49
admin,Rhydon,"[32.15514341490702, 9.089220684638605]",2022-11-14 12:47:57,2022-11-14 12:47:57
admin,Blastoise,"[6.732950010472218, 0.7831075943573229]",2022-11-14 00:07:15,2022-11-14 00:07:15
admin,Kakuna,"[9.426145345679773, 4.429858186107632]",2022-11-17 08:31:47,2022-11-17 08:31:47
admin,Dragonite,"[8.645924579578477, 1.5194197850333924]",2022-11-13 20:38:33,2022-11-13 20:38:33
admin,Raticate,"[16.701204015267628, 5.35676742428873]",2022-11-14 23:04:10,2022-11-14 23:04:10
admin,Golem,"[27.732297979508363, 0.5870790861998576]",2022-11-04 06:00:36,2022-11-04 06:00:36
admin,Pinsir,"[4.432161651099369, 0.774702524487425]",2022-11-28 01:09:32,2022-11-28 01:09:32
admin,Kakuna,"[13.144734809379743, 3.0276877267875824]",2022-11-18 19:34:47,2022-11-18 19:34:47
admin,Arcanine,"[31.973897985652915, 5.484843962118474]",2022-11-15 02:02:33,2022-11-15 02:02:33
admin,Shellder,"[26.20387284272665, 4.228670179382249]",2022-11-20 00:25:13,2022-11-20 00:25:13
admin,Dratini,"[16.821368054960836, 4.109541948879737]",2022-11-19 19:08:38,2022-11-19 19:08:38
admin,Chansey,"[4.996698347302324, 8.435469077023235]",2022-11-08 07:15:03,2022-11-08 07:15:03
admin,Seel,"[21.2758491897116, 7.562330106679895]",2022-11-17 15:22:31,2022-11-17 15:22:31
admin,Pidgey,"[10.08017272472356, 6.756426289467359]",2022-11-30 04:28:33,2022-11-30 04:28:33
admin,Nidoran♂,"[20.508515836027303, 6.388824551466178]",2022-11-11 03:39:29,2022-11-11 03:39:29
admin,Golem,"[36.53083132855626, 6.294766395994583]",2022-11-18 14:49:21,2022-11-18 14:49:21
admin,Nidoran♂,"[5.232791542017496, 0.7057697740520474]",2022-11-09 19:04:38,2022-11-09 19:04:38
admin,Arcanine,"[36.91507464210356, 5.277453562949868]",2022-11-05 15:58:18,2022-11-05 15:58:18
admin,Lickitung,"[3.9145525327935626, 2.709477678355027]",2022-11-22 22:52:09,2022-11-22 22:52:09
admin,Ditto,"[12.503361937077727, 7.8106462089118445]",2022-11-06 22:08:06,2022-11-06 22:08:06
admin,Poliwhirl,"[14.286434291154366, 2.876771376502183]",2022-11-20 04:45:49,2022-11-20 04:45:49
admin,Moltres,"[11.356706526313891, 3.3576805009185904]",2022-11-28 15:51:08,2022-11-28 15:51:08
admin,Fearow,"[16.64683523234899, 8.366828429320028]",2022-11-08 18:10:27,2022-11-08 18:10:27
admin,Beedrill,"[1.812707283842423, 2.751786088040824]",2022-11-19 07:27:06,2022-11-19 07:27:06
admin,Fearow,"[15.664641167832581, 6.201207383049461]",2022-11-21 03:08:32,2022-11-21 03:08:32
admin,Chansey,"[27.859001874509758, 2.628398709980757]",2022-11-28 00:31:28,2022-11-28 00:31:28
admin,Meowth,"[35.38357326560688, 8.064073660981443]",2022-11-25 23:34:59,2022-11-25 23:34:59
admin,Hypno,"[6.687394218235854, 0.1215035925024266]",2022-11-28 14:06:02,2022-11-28 14:06:02
admin,Poliwag,"[0.22843791166123673, 4.57086841471444]",2022-11-09 00:36:05,2022-11-09 00:36:05
admin,Squirtle,"[1.6943137495493898, 3.3966642088201047]",2022-11-27 21:11:42,2022-11-27 21:11:42
admin,Zubat,"[33.05772177464447, 2.900021761988146]",2022-11-04 03:59:05,2022-11-04 03:59:05
admin,Weezing,"[17.59110376364537, 9.276865319944427]",2022-11-25 10:00:35,2022-11-25 10:00:35
admin,Sandslash,"[24.677125369165584, 5.575399418040018]",2022-11-22 23:52:26,2022-11-22 23:52:26
admin,Chansey,"[5.075136949996608, 7.371014481464902]",2022-11-08 04:39:45,2022-11-08 04:39:45
admin,Nidoran♂,"[2.531453528569072, 2.6475202233739514]",2022-11-30 14:56:47,2022-11-30 14:56:47
admin,Dugtrio,"[2.3800648911833644, 3.415348286297313]",2022-11-09 12:56:37,2022-11-09 12:56:37
admin,Arbok,"[0.32310231154787594, 5.969818987815961]",2022-11-04 09:16:43,2022-11-04 09:16:43
admin,Articuno,"[5.110314227323509, 8.233583689106284]",2022-11-22 23:54:19,2022-11-22 23:54:19
admin,Gengar,"[0.2454827906273227, 9.009276090400027]",2022-11-14 08:23:52,2022-11-14 08:23:52
admin,Machoke,"[15.416990910546442, 5.86298005134492]",2022-12-01 20:24:38,2022-12-01 20:24:38
admin,Gyarados,"[25.186762385949816, 5.04620786244375]",2022-11-05 23:53:33,2022-11-05 23:53:33
admin,Muk,"[15.590391412223351, 9.040247459971383]",2022-11-28 11:54:48,2022-11-28 11:54:48
admin,Primeape,"[8.980789530059763, 5.977470012778239]",2022-11-24 14:38:07,2022-11-24 14:38:07
admin,Parasect,"[8.272675208279384, 7.6147106173838335]",2022-11-20 05:42:37,2022-11-20 05:42:37
admin,Magnemite,"[26.917474360710855, 3.1630261658856593]",2022-11-15 09:46:32,2022-11-15 09:46:32
admin,Dragonair,"[7.968515328451775, 3.7875689589200787]",2022-11-20 16:22:58,2022-11-20 16:22:58
admin,Pidgeotto,"[21.34454228242063, 0.2716765767561735]",2022-12-01 17:55:28,2022-12-01 17:55:28
admin,Fearow,"[23.105875544502013, 9.122418215130581]",2022-11-21 03:30:16,2022-11-21 03:30:16
admin,Farfetch'd,"[38.96422405753472, 3.2502444248059135]",2022-11-23 20:03:30,2022-11-23 20:03:30
admin,Horsea,"[34.016191518908904, 7.921182306279575]",2022-11-07 07:14:05,2022-11-07 07:14:05
admin,Ivysaur,"[30.361486724278755, 0.35811810421043533]",2022-11-27 00:27:48,2022-11-27 00:27:48
admin,Charmeleon,"[1.9665108193357606, 2.7514537457747323]",2022-11-16 11:59:58,2022-11-16 11:59:58
admin,Machop,"[7.869239315848198, 7.2658278358471655]",2022-11-25 06:22:31,2022-11-25 06:22:31
admin,Rapidash,"[21.69579601222626, 4.285475646573507]",2022-11-04 04:45:38,2022-11-04 04:45:38
admin,Rhyhorn,"[4.738788713095512, 7.5866964910440355]",2022-12-01 03:25:32,2022-12-01 03:25:32
admin,Farfetch'd,"[2.0380996235044924, 7.48630435422601]",2022-11-27 16:05:29,2022-11-27 16:05:29
admin,Magnemite,"[6.614164723047908, 9.799064778813195]",2022-11-13 23:54:57,2022-11-13 23:54:57
admin,Blastoise,"[10.712092345522088, 5.050694567714915]",2022-11-27 14:18:43,2022-11-27 14:18:43
admin,Parasect,"[12.177493818213282, 0.3129623195833553]",2022-11-18 12:34:33,2022-11-18 12:34:33
admin,Seel,"[17.353910235771664, 2.6611101197657905]",2022-11-11 13:55:48,2022-11-11 13:55:48
admin,Weezing,"[16.67657826739138, 4.8168680196449944]",2022-11-11 04:42:45,2022-11-11 04:42:45
admin,Bulbasaur,"[25.483871225957067, 1.2928621825026199]",2022-11-03 22:06:16,2022-11-03 22:06:16
admin,Grimer,"[29.40257925698465, 9.907045669444493]",2022-11-20 15:17:32,2022-11-20 15:17:32
admin,Poliwhirl,"[17.05811941197499, 7.508548425411062]",2022-11-09 21:01:50,2022-11-09 21:01:50
admin,Golem,"[38.77587117158825, 4.758424909612133]",2022-11-20 22:34:01,2022-11-20 22:34:01
admin,Onix,"[33.73521201325308, 5.940325514435166]",2022-11-04 07:46:50,2022-11-04 07:46:50
admin,Marowak,"[39.41664938529355, 8.500225385141103]",2022-11-26 20:58:51,2022-11-26 20:58:51
admin,Venonat,"[36.276994355905494, 6.613904934117775]",2022-11-04 16:52:33,2022-11-04 16:52:33
admin,Chansey,"[4.684661020040446, 6.280416816821258]",2022-11-21 18:39:18,2022-11-21 18:39:18
admin,Meowth,"[31.448756740982844, 4.02928762350002]",2022-11-14 19:24:20,2022-11-14 19:24:20
admin,Pinsir,"[33.5410517902428, 1.1670973433580722]",2022-11-30 21:55:48,2022-11-30 21:55:48
admin,Drowzee,"[0.35984404110565027, 5.8619423404574365]",2022-11-09 02:59:54,2022-11-09 02:59:54
admin,Doduo,"[5.226345484986132, 6.156254037942206]",2022-12-02 12:31:53,2022-12-02 12:31:53
admin,Rhydon,"[25.90479195362114, 5.36048812223349]",2022-11-15 12:39:46,2022-11-15 12:39:46
admin,Electabuzz,"[25.429567860061454, 9.196848609746311]",2022-11-20 03:29:34,2022-11-20 03:29:34
admin,Articuno,"[25.332977094227772, 0.2745947807352811]",2022-12-02 01:21:43,2022-12-02 01:21:43
admin,Geodude,"[2.5961964251815983, 3.904417066852507]",2022-11-03 13:50:30,2022-11-03 13:50:30
admin,Jigglypuff,"[25.94738223729371, 6.844958759104486]",2022-11-27 03:13:15,2022-11-27 03:13:15
admin,Nidorina,"[1.138031517478293, 4.788449000779057]",2022-11-08 15:37:33,2022-11-08 15:37:33
admin,Flareon,"[37.822736590251374, 5.280428604189095]",2022-11-06 20:04:02,2022-11-06 20:04:02
admin,Paras,"[2.2599681440582975, 5.0165152097739165]",2022-11-04 16:48:29,2022-11-04 16:48:29
admin,Kadabra,"[24.950080396068092, 9.136818645232013]",2022-11-28 10:40:28,2022-11-28 10:40:28
admin,Doduo,"[18.44903935969938, 3.4183783536709034]",2022-11-25 13:44:05,2022-11-25 13:44:05
admin,Ivysaur,"[23.622515468337873, 1.4412750057171286]",2022-11-17 08:39:25,2022-11-17 08:39:25
admin,Hitmonchan,"[3.7302876654246875, 9.42097737764692]",2022-11-30 06:15:19,2022-11-30 06:15:19
admin,Dratini,"[6.4295201501122135, 4.630679955398391]",2022-11-24 20:53:50,2022-11-24 20:53:50
admin,Rhydon,"[3.035023350263608, 5.20694993393632]",2022-11-20 15:27:05,2022-11-20 15:27:05
admin,Growlithe,"[15.564627663513559, 6.145223448254077]",2022-11-29 00:32:14,2022-11-29 00:32:14
admin,Dugtrio,"[32.335101990669614, 5.1708188566202935]",2022-11-08 07:46:51,2022-11-08 07:46:51
admin,Magnemite,"[37.89608540788838, 8.444234221104693]",2022-11-17 04:31:21,2022-11-17 04:31:21
admin,Poliwag,"[18.25319916819463, 5.299826039249523]",2022-11-16 16:36:30,2022-11-16 16:36:30
admin,Kangaskhan,"[11.363339748090372, 1.3073823629664683]",2022-11-07 07:59:50,2022-11-07 07:59:50
admin,Mankey,"[23.414118325430614, 8.972408952983917]",2022-11-06 02:43:11,2022-11-06 02:43:11
admin,Caterpie,"[22.763216136880718, 0.5816475753381745]",2022-11-14 15:34:41,2022-11-14 15:34:41
admin,Abra,"[26.336047733221875, 1.4597120085232262]",2022-11-27 17:08:22,2022-11-27 17:08:22
admin,Nidoran♀,"[6.4584154327647525, 8.55877201171029]",2022-11-08 16:17:30,2022-11-08 16:17:30
admin,Primeape,"[1.0724343398990044, 4.186747624352752]",2022-11-21 22:07:24,2022-11-21 22:07:24
admin,Muk,"[18.17242885861313, 2.2612597566860204]",2022-11-07 11:24:56,2022-11-07 11:24:56
admin,Scyther,"[31.68101814160902, 3.1582177849025674]",2022-11-04 20:19:24,2022-11-04 20:19:24
admin,Magmar,"[10.757671739452363, 6.935780593360695]",2022-11-28 21:23:30,2022-11-28 21:23:30
admin,Poliwrath,"[38.527854124693604, 8.243812252344881]",2022-11-13 05:23:46,2022-11-13 05:23:46
admin,Nidoran♀,"[29.329596229716422, 7.431275942979754]",2022-11-22 23:42:17,2022-11-22 23:42:17
admin,Electrode,"[1.6631638887715994, 0.8368894859221021]",2022-11-18 23:32:14,2022-11-18 23:32:14
admin,Magikarp,"[32.58347161448271, 8.98601337229347]",2022-11-05 21:06:07,2022-11-05 21:06:07
admin,Kadabra,"[18.795169487885467, 4.77512109165593]",2022-11-13 00:17:53,2022-11-13 00:17:53
admin,Seadra,"[1.841200347737546, 3.5523308582886113]",2022-11-06 15:18:19,2022-11-06 15:18:19
admin,Spearow,"[0.6866283139286722, 0.891467016709403]",2022-12-02 15:30:10,2022-12-02 15:30:10
admin,Muk,"[21.76014192701167, 1.2556057474006277]",2022-11-17 11:39:36,2022-11-17 11:39:36
admin,Wartortle,"[23.16598957832367, 5.391677590978713]",2022-11-29 23:42:22,2022-11-29 23:42:22
admin,Lickitung,"[38.405738090060886, 2.057395666614419]",2022-11-10 01:04:51,2022-11-10 01:04:51
admin,Ponyta,"[18.684461530284054, 0.4399299687073588]",2022-11-12 18:56:57,2022-11-12 18:56:57
admin,Mew,"[32.024340524779745, 1.9592907458932163]",2022-11-14 21:22:48,2022-11-14 21:22:48
admin,Kakuna,"[0.45311802237149035, 7.761311028540617]",2022-11-05 18:07:27,2022-11-05 18:07:27
admin,Farfetch'd,"[3.374190630726006, 6.514721068391784]",2022-11-13 08:34:02,2022-11-13 08:34:02
admin,Rattata,"[31.343599031300467, 2.0451965379226236]",2022-11-10 07:15:58,2022-11-10 07:15:58
admin,Kangaskhan,"[37.50357285368867, 6.628827953073236]",2022-11-18 12:26:36,2022-11-18 12:26:36
admin,Cloyster,"[0.37643904084805335, 1.7229072567102366]",2022-11-24 16:12:14,2022-11-24 16:12:14
admin,Vaporeon,"[23.306875385004165, 1.4944824499130216]",2022-11-02 22:26:20,2022-11-02 22:26:20
admin,Aerodactyl,"[39.13375348311837, 6.31081323403457]",2022-11-20 08:53:17,2022-11-20 08:53:17
admin,Goldeen,"[39.959151788451024, 2.141117145583703]",2022-11-09 02:47:55,2022-11-09 02:47:55
admin,Slowpoke,"[9.352099311680643, 5.404870667676482]",2022-11-04 13:55:48,2022-11-04 13:55:48
admin,Pidgeot,"[2.3505709012834597, 5.340563380119243]",2022-12-01 23:28:19,2022-12-01 23:28:19
admin,Parasect,"[13.933573397899558, 0.915737033840961]",2022-11-27 11:05:41,2022-11-27 11:05:41
admin,Ponyta,"[16.608368703164153, 5.645248723639379]",2022-11-29 12:09:21,2022-11-29 12:09:21
admin,Machop,"[36.72583101630674, 5.30017760327841]",2022-11-18 21:07:37,2022-11-18 21:07:37
admin,Alakazam,"[9.56090986307277, 6.24021158950416]",2022-11-23 15:50:17,2022-11-23 15:50:17
admin,Ekans,"[1.6701894808154805, 8.752556688776673]",2022-11-14 19:43:32,2022-11-14 19:43:32
admin,Scyther,"[8.063104530310529, 4.612917348217134]",2022-11-26 20:49:05,2022-11-26 20:49:05
admin,Voltorb,"[19.932236970683203, 1.5283928778857914]",2022-11-18 07:05:09,2022-11-18 07:05:09
admin,Staryu,"[39.29848238902117, 6.84016983049736]",2022-11-25 13:50:46,2022-11-25 13:50:46
admin,Scyther,"[1.7634015832602135, 6.161490859831282]",2022-11-18 11:49:19,2022-11-18 11:49:19
admin,Kabuto,"[19.159686849973298, 3.706287044660508]",2022-11-08 12:05:22,2022-11-08 12:05:22
